Date,SPY
1993-01-29,27.356757722734763
1993-02-01,27.55132925703586
1993-02-02,27.609669585880702
1993-02-03,27.901558018777838
1993-02-04,28.0183009393585
1993-02-05,27.998812654482897
1993-02-08,27.998812654482897
1993-02-09,27.8042411201818
1993-02-10,27.84315542704202
1993-02-11,27.979386632498283
1993-02-12,27.765326813321586
1993-02-16,27.064869289837624
1993-02-17,27.045443267853
1993-02-18,27.0259549829774
1993-02-19,27.123271881573444
1993-02-22,27.2205265172785
1993-02-23,27.20110049529388
1993-02-24,27.55132925703586
1993-02-25,27.609669585880702
1993-02-26,27.648583892740923
1993-03-01,27.57075527902048
1993-03-02,27.979386632498283
1993-03-03,28.096129553078946
1993-03-04,27.940472325638066
1993-03-05,27.86264371191762
1993-03-08,28.485272621681148
1993-03-09,28.387955723085106
1993-03-10,28.446358314820923
1993-03-11,28.368529701100478
1993-03-12,28.076641268203343
1993-03-15,28.2128724736596
1993-03-16,28.2128724736596
1993-03-17,28.03772696134312
1993-03-18,28.2128724736596
1993-03-19,28.170346919122753
1993-03-22,28.013953424617146
1993-03-23,28.07263226375565
1993-03-24,28.07263226375565
1993-03-25,28.248543666375557
1993-03-26,28.092150171869957
1993-03-29,28.209445292749155
1993-03-30,28.287642040001955
1993-03-31,28.268124131887657
1993-04-01,28.170346919122753
1993-04-02,27.58387131472675
1993-04-05,27.72074690111805
1993-04-06,27.64255015386525
1993-04-07,27.74026480923235
1993-04-08,27.701166435605945
1993-04-12,28.092150171869957
1993-04-13,28.150829011008447
1993-04-14,28.11173063738205
1993-04-15,28.11173063738205
1993-04-16,28.11173063738205
1993-04-19,27.994435516502854
1993-04-20,27.857559930111552
1993-04-21,27.83804202199725
1993-04-22,27.486156659359647
1993-04-23,27.368861538480438
1993-04-26,27.153789204836336
1993-04-27,27.447058285733238
1993-04-28,27.38837944659474
1993-04-29,27.505674567473946
1993-04-30,27.544772941100344
1993-05-03,27.72074690111805
1993-05-04,27.818461556485147
1993-05-05,27.89665830373795
1993-05-06,27.79894364837085
1993-05-07,27.74026480923235
1993-05-10,27.79894364837085
1993-05-11,27.91623876925005
1993-05-12,27.877140395623652
1993-05-13,27.544772941100344
1993-05-14,27.525255032986045
1993-05-17,27.62296968835314
1993-05-18,27.603451780238853
1993-05-19,28.170346919122753
1993-05-20,28.248543666375557
1993-05-21,27.994435516502854
1993-05-24,28.11173063738205
1993-05-25,28.170346919122753
1993-05-26,28.52223228176036
1993-05-27,28.42451762639326
1993-05-28,28.287642040001955
1993-06-01,28.56133065538676
1993-06-02,28.52223228176036
1993-06-03,28.42451762639326
1993-06-04,28.326740413628354
1993-06-07,28.22902575826125
1993-06-08,27.974855050990747
1993-06-09,28.07263226375565
1993-06-10,28.092150171869957
1993-06-11,28.209445292749155
1993-06-14,28.170346919122753
1993-06-15,28.11173063738205
1993-06-16,28.170346919122753
1993-06-17,28.268124131887657
1993-06-18,28.036974547008377
1993-06-21,28.09600970465005
1993-06-22,28.115730093488736
1993-06-23,27.85974306520897
1993-06-24,28.23386341320928
1993-06-25,28.214143024370603
1993-06-28,28.52916521029204
1993-06-29,28.391374506170003
1993-06-30,28.391374506170003
1993-07-01,28.31261895968964
1993-07-02,28.155107866728923
1993-07-06,27.85974306520897
1993-07-07,27.93849861168933
1993-07-08,28.253520797610776
1993-07-09,28.33227634409113
1993-07-12,28.31261895968964
1993-07-13,28.292898570850955
1993-07-14,28.391374506170003
1993-07-15,28.27324118644945
1993-07-16,28.194485639969102
1993-07-19,28.17476525113041
1993-07-20,28.253520797610776
1993-07-21,28.23386341320928
1993-07-22,28.036974547008377
1993-07-23,28.17476525113041
1993-07-26,28.33227634409113
1993-07-27,28.31261895968964
1993-07-28,28.253520797610776
1993-07-29,28.411031890571493
1993-07-30,28.253520797610776
1993-08-02,28.33227634409113
1993-08-03,28.35199673292982
1993-08-04,28.35199673292982
1993-08-05,28.292898570850955
1993-08-06,28.33227634409113
1993-08-09,28.489787437051856
1993-08-10,28.47013005265036
1993-08-11,28.47013005265036
1993-08-12,28.391374506170003
1993-08-13,28.430752279410182
1993-08-16,28.588263372370896
1993-08-17,28.686676303252764
1993-08-18,28.844187396213478
1993-08-19,28.844187396213478
1993-08-20,28.863907785052167
1993-08-23,28.8048096229733
1993-08-24,29.119831808894737
1993-08-25,29.139552197733426
1993-08-26,29.159209582134924
1993-08-27,29.139552197733426
1993-08-30,29.257685517453965
1993-08-31,29.336441063934327
1993-09-01,29.297063290694147
1993-09-02,29.198587355375103
1993-09-03,29.218307744213785
1993-09-07,29.021418878012884
1993-09-08,28.92294294269384
1993-09-09,28.9820411047727
1993-09-10,29.237965128615283
1993-09-13,29.257685517453965
1993-09-14,29.139552197733426
1993-09-15,29.218307744213785
1993-09-16,29.100174424493247
1993-09-17,29.044100475399233
1993-09-20,28.806358861685187
1993-09-21,28.70726815708917
1993-09-22,28.945009770803214
1993-09-23,29.10350417994591
1993-09-24,29.024256975374566
1993-09-27,29.341245793659958
1993-09-28,29.281842089113283
1993-09-29,29.18275138451726
1993-09-30,29.12334767997058
1993-10-01,29.261998589088613
1993-10-04,29.301622191374282
1993-10-05,29.261998589088613
1993-10-06,29.242218486827603
1993-10-07,29.16297128225625
1993-10-08,29.20259488454193
1993-10-11,29.261998589088613
1993-10-12,29.301622191374282
1993-10-13,29.301622191374282
1993-10-14,29.678078111970013
1993-10-15,29.836572521112714
1993-10-18,29.757325316541362
1993-10-19,29.53936380508833
1993-10-20,29.578987407374
1993-10-21,29.53936380508833
1993-10-22,29.400712895970297
