Date,SMLV
2013-02-21,49.48250707227954
2013-02-22,49.881224604505384
2013-02-25,49.44097399600602
2013-02-26,49.20008215361957
2013-02-27,49.424360765496594
2013-02-28,49.84799814348656
2013-03-01,49.50742691804365
2013-03-04,49.50742691804365
2013-03-05,50.32978182825948
2013-03-06,50.51252736386299
2013-03-07,50.46268767233476
2013-03-08,50.46268767233476
2013-03-11,50.88632505032473
2013-03-12,50.88632505032473
2013-03-13,51.052457355418845
2013-03-14,51.251816121531775
2013-03-15,51.37440348813767
2013-03-18,51.37440348813767
2013-03-19,51.37440348813767
2013-03-20,51.43268887297024
2013-03-21,51.357750521042654
2013-03-22,51.316118103305094
2013-03-25,51.357750521042654
2013-03-26,51.64085096165799
2013-03-27,51.69580575307155
2013-03-28,51.94893085291586
2013-04-01,51.366077004590146
2013-04-02,51.49097425780281
2013-04-03,50.791549639811954
2013-04-04,50.9997117284997
2013-04-05,50.94134307883167
2013-04-08,51.52428019199286
2013-04-09,51.37440348813767
2013-04-10,51.37440348813767
2013-04-11,52.07382810612852
2013-04-12,51.90729843517832
2013-04-15,50.27530765986632
2013-04-16,50.883140958834574
2013-04-17,50.225348758581255
2013-04-18,50.03383963698853
2013-04-19,50.6583259030518
2013-04-22,50.79987612335946
2013-04-23,51.49097425780281
2013-04-24,51.78240118196565
2013-04-25,51.860004008628465
2013-04-26,51.69080986294305
2013-04-29,51.69080986294305
2013-04-30,52.2237048099837
2013-05-01,51.607545027467935
2013-05-02,51.72403253229761
2013-05-03,52.49015228350402
2013-05-06,52.45684634931398
2013-05-07,53.04794341635173
2013-05-08,53.005228555753
2013-05-09,52.81488514185692
2013-05-10,53.023047230544684
2013-05-13,52.95926636657074
2013-05-14,53.27459029851496
2013-05-15,53.76410426627307
2013-05-16,53.539289210490296
2013-05-17,54.00557228915087
2013-05-20,54.030551739793395
2013-05-21,54.138796025911034
2013-05-22,53.25618876987497
2013-05-23,52.945444403881886
2013-05-24,53.023047230544684
2013-05-28,53.25618876987497
2013-05-29,52.598396569621656
2013-05-30,52.838199295789956
2013-05-31,52.53744671005389
2013-06-03,52.648355470906715
2013-06-04,52.287818733299524
2013-06-05,51.70746283003807
2013-06-06,51.549259642635384
2013-06-07,52.46517283286149
2013-06-10,52.565090635431616
2013-06-11,52.16541942515113
2013-06-12,51.403712710224895
2013-06-13,52.41521393157643
2013-06-14,52.35692854674386
2013-06-17,52.45684634931398
2013-06-18,53.13129151666231
2013-06-19,52.298643161911286
2013-06-20,50.94142634366713
2013-06-21,51.265061771488455
2013-06-24,50.778819157793244
2013-06-25,50.963256011263844
2013-06-26,51.47464910497778
2013-06-27,52.21675593539678
2013-06-28,52.29623145225594
2013-07-01,52.475219035055815
2013-07-02,52.38844987899124
2013-07-03,52.66510515919714
2013-07-05,53.033978866138355
2013-07-08,53.56213894653145
2013-07-09,54.09197572559246
2013-07-10,54.09029902692454
2013-07-11,54.63522609399679
2013-07-12,54.97894932091928
2013-07-15,55.333403419316404
2013-07-16,55.18015316106902
2013-07-17,55.31680410250407
2013-07-18,55.85083262823486
2013-07-19,55.909517081611874
2013-07-22,56.043652975045035
2013-07-23,56.119104415101184
2013-07-24,55.582560841368526
2013-07-25,56.01766414569236
2013-07-26,55.93190100882853
2013-07-29,55.64795208941719
2013-07-30,55.61609481472682
2013-07-31,55.67477926810382
2013-08-01,56.12748790844076
2013-08-02,56.14425489511991
2013-08-05,56.14995567059081
2013-08-06,55.909517081611874
2013-08-07,55.599327828047656
2013-08-08,55.7753811881787
2013-08-09,55.69154625478297
2013-08-12,55.6831627614434
2013-08-13,55.69154625478297
2013-08-14,55.440041454595786
2013-08-15,54.28647277107055
2013-08-16,53.863944706756065
2013-08-19,53.57052243987103
2013-08-20,53.98969710684967
2013-08-21,53.70465833330419
2013-08-22,54.1322164936224
2013-08-23,54.29150286707429
2013-08-26,54.425471090640656
2013-08-27,53.47159721846406
2013-08-28,53.28548366632554
2013-08-29,53.61243990656889
2013-08-30,52.956599222614095
2013-09-03,52.81600803930945
2013-09-04,53.00044489278007
2013-09-05,53.21003222626938
2013-09-06,53.31901763968385
2013-09-09,53.956163133491366
2013-09-10,54.107066013603685
